nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie des Côtes de Meuse Hannonville-sous-les-Côtes, MEUSE",Hannonville Sous Les Cotes,55210,Office d'hygiène sociale de Lorraine - OHS,19 rue de la Promenade,03 83 67 68 67,ohs.lorraine@ohs.asso.fr,https://www.has-sante.fr/jcms/11404_FicheESSMS/fr/residence-autonomie-des-cotes-de-meuse,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Hannonville Sous Les Cotes, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/hannonville-sous-les-cotes-55210/residence-autonomie-des-cotes-de-meuse/550003735,2025-12-19,personnes_agees
"Résidence autonomie Les Coquillottes Bar-le-Duc, MEUSE",Bar Le Duc,55000,CIAS,24 rue Louis Joblot,03 29 79 40 02,coquillottes@cias.meusegrandsud.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=550003701,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Bar Le Duc, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/bar-le-duc-55000/residence-autonomie-les-coquillottes/550003701,2025-12-19,personnes_agees
"Résidence autonomie MARPA La Vigne Seguin Dammarie-sur-Saulx, MEUSE",Dammarie sur-Saulx,55500,Association MARPA La Vigne,2 chemin des Gendarmes,03 29 45 36 28,marpa.lavigneseguin@gmail.com,https://www.marpa.fr/marpas/la-vigne-seguin/,MARPA,residence,a_verifier,"MARPA située à Dammarie sur-Saulx, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/dammarie-sur-saulx-55500/residence-autonomie-marpa-la-vigne-seguin/550006001,2025-12-19,personnes_agees
Résidence autonomie Mirabelle,Verdun,55100,Alys,,03 29 86 06 00,contact55@alys.fr,http://www.alys.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Verdun, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/verdun-55100/residence-autonomie-mirabelle/550003610,2025-12-19,personnes_agees
"Résidence autonomie Pierre Didon Revigny-sur-Ornain, MEUSE",Revigny sur-Ornain,55800,CCAS,9 avenue de la Haie Herlin,03 29 75 60 59,contact.ccas@revigny-sur-ornain.fr,https://www.has-sante.fr/jcms/9658_FicheESSMS/fr/residence-autonomie-pierre-didon,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Revigny sur-Ornain, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/revigny-sur-ornain-55800/residence-autonomie-pierre-didon/550002265,2025-12-19,personnes_agees
Résidence autonomie Souville,Verdun,55100,Alys,2 rue de la Charronniere,03 29 86 06 00,contact55@alys.fr,http://www.alys.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Verdun, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/verdun-55100/residence-autonomie-souville/550003628,2025-12-19,personnes_agees
Résidence autonomie Au Temps des Cerises,Commercy,55200,CCAS,34 rue du Docteur Edmond Morelle,03 29 91 08 33,residence@commercy.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=550003826,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Commercy, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (55),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/meuse-55/commercy-55200/residence-autonomie-au-temps-des-cerises/550003826,2025-12-19,personnes_agees
Résidences Comme Toit,Verdun,55100,,angle de l’avenue Miribel et de la rue de la Charronière,,,https://residences-commetoit.fr/residences-adaptees/verdun/,Habitat inclusif,habitat_partage,a_verifier,"Voici la présentation de l'établissement Résidences Comme Toit : Résidences Comme Toit est un établissement d'hébergement inclusif situé à Verdun, dans le département de la Meuse. Cette résidence neuve est adaptée aux personnes en situation de handicap et offre un environnement convivial et sécurisé. Géré par l'établissement Résidences Comme Toit, ce lieu accueille des personnes en situation de handicap qui bénéficient d'un hébergement adapté à leurs besoins.",Meuse (55),https://residences-commetoit.fr/residences-adaptees/verdun/,2025-12-19,personnes_agees
Résidence inclusive,Verdun,,,avenue Miribel et rue de la Charronière,,,https://residences-commetoit.fr/residences-adaptees/verdun/,Habitat inclusif,habitat_partage,a_verifier,"Voici une présentation claire, factuelle et professionnelle de l'établissement Résidence inclusive : La Résidence inclusive est un habitat inclusif situé dans la commune de Verdun, dans le département de la Meuse. Cette résidence neuve est adaptée aux personnes en situation de handicap et offre un environnement convivial et sécurisé. Géré par l'établissement Résidence inclusive, cet établissement accueille des personnes en situation de handicap.",Meuse (55),https://www.estrepublicain.fr/economie/2024/12/04/la-residence-inclusive-devrait-accueillir-ses-locataires-en-septembre-2025,2025-12-19,personnes_agees
Maison ou Habitat Partagé pour Retraités,Verdun,55100,,,,adresse@mail.com,https://www.cdc-habitat.fr/recherche/location/grand-est/meuse/verdun-55100,Habitat inclusif,habitat_partage,a_verifier,"Présentation de l'établissement Maison ou Habitat Partagé pour Retraités Situé à Verdun (55100) dans le département de la Meuse, l'établissement Maison ou Habitat Partagé pour Retraités propose un habitat inclusif pour les retraités. Géré par l'établissement, cet établissement accueille des personnes âgées qui cherchent un environnement convivial et sécurisé. L'établissement propose des logements adaptés aux besoins des retraités, avec des appartements et des maisons disponibles. Les tarifs sont accessibles, avec des loyers allant jusqu'à 926,74 € pour un logement de 118m².",Meuse (55),https://www.colocation-adulte.fr/colocation-senior-a-verdun-meuse/colocataires-seniors,2025-12-19,personnes_agees
