nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence Services Les Romarins,Marseille,13010,Domusvi,240 Boulevard de saint loup,10  04 91 87 62,,https://www.domusvi.com/residences-seniors/bouches-du-rhone-13/les-romarins,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services La République des Dames,Marseille,13002,Colisee,44 Boulevard des dames,02  04 96 17 34,,https://colisee.fr/residences/residence-senior-marseille-republique-dames/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Terrasses Horizon Bleu à,Marseille,13004,Domusvi,25 Avenue des chutes lavie,04  07 60 47 56,,https://www.domusvi.com/residences-seniors/bouches-du-rhone-13/les-terrasses-horizon-bleu,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Terrasses de Sausset,Sausset-les-Pins,13960,Colisee,7 Avenue des 3 Communes,04 42 06 78 25,,https://colisee.fr/residences/residence-senior-sausset-les-pins-les-terrasses-de-sausset/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les balcons du Castelet,Roquefort-la-Bédoule,13830,Colisee,1675 Route de Roquefort,04 42 73 09 09,,https://colisee.fr/residences/residence-senior-a-roquefort-la-bedoule-les-balcons-du-castelet/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Lauriers Roses,Marseille,13013,Colisee,Chemin de notre dame de consolation,13  04 91 21 05,,https://colisee.fr/residences/residence-senior-marseille-les-lauriers-roses/,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Senioriales de,Marseille,13010,Senioriales,Boulevard de pont de vivaux,10  05 62 47 94,,https://www.senioriales.com/louer/provence-alpes-cote-dazur/senioriales-de-marseille-st-loup,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Terrasses du Levant à,Marseille,13012,Domusvi,67 Chemin des anemones,12  07 60 47 56,,https://www.domusvi.com/residences-seniors/bouches-du-rhone-13/les-terrasses-du-levant,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Collines d’Augustine,Aubagne,13400,Ovelia,Chemin du Bon Civet,04 12 29 01 03,,https://www.ovelia.fr/residences-seniors/aubagne-collines-augustine,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services L'Amandier,Aix-en-Provence,13090,Domitys,13 Avenue  Alfred Capus,04 51 58 06 76,,https://www.domitys.fr/residence-services-senior/provence-alpes-cote-dazur/bouches-du-rhone-13/aix-en-provence-lamandier-13,Résidence services seniors,residence,a_verifier,,13,pour-les-personnes-agees.gouv.fr,,personnes_agees
Familles Gouvernantes (Habitat inclusif),Marseille,13000,Udaf 13 des Bouches-du-Rhône,5e arrondissement,,,https://www.udaf13.fr/les-services-aux-familles/residence-accueil/,Habitat inclusif,habitat_partage,a_verifier,"L'établissement Familles Gouvernantes (Habitat inclusif) est un habitat inclusif situé dans le 5e arrondissement de Marseille, dans le département des Bouches-du-Rhône. Géré par l'établissement Familles Gouvernantes (Habitat inclusif), ce lieu propose un accueil résidentiel pour des personnes en situation de fragilités psychiques, autonomes, stabilisées et suivies sur le plan médical. La Résidence Accueil offre 16 logements non meublés, chacun comprenant un studio avec salle d'eau et wc, ainsi que deux buanderies et deux espaces collectifs partagés favorisant les relations entre résidents et la préparation de repas en commun. La Résidence Accueil propose un accompagnement individualisé et collectif pour les actes du quotidien, notamment l'aide à l'entretien du logement, du linge, choix des menus en groupe, organisation des courses et préparation des repas. Un travailleur social assure la coordination de la Résidence Accueil sur site, régule la vie collective et met en place avec les habitants les animations voulues. Les transports et commerces sont à proximité immédiate.",Bouches-du-Rhône (13),https://www.udaf13.fr/les-services-aux-familles/habitat-inclusif-famille-gouvernante/,2026-01-15,personnes_handicapees
La Maison Garcin,Aix en provence,13097,ADAR Provence,300 chemin de la Croix Verte Cs,04 42 95 28 68,,https://www.adar-provence.com/fr/residence-emmanuel/maison-garcin,Habitat inclusif,habitat_partage,a_verifier,"La Maison Garcin est un habitat inclusif situé à Aix-en-Provence, dans le département des Bouches-du-Rhône. Ce lieu accueille des personnes en situation de handicap, offrant un environnement adapté et inclusif. Géré par l'établissement La Maison Garcin, ce lieu est conçu pour répondre aux besoins spécifiques de ses résidents. La Maison Garcin est une structure qui propose des logements adaptés, permettant aux personnes en situation de handicap de vivre de manière autonome et indépendante.",Bouches-du-Rhône (13),https://www.adar-provence.com/fr/residence-emmanuel/habitat-inclusif,2026-01-15,personnes_agees
Simon de Cyrène Marseille,Marseille,13000,Simon de Cyrène,7 rue Sainte Adélaïde,04 96 19 51 52,contact.marseille@simondecyrene.org,https://www.simondecyrene.org/marseille/,Habitat inclusif,habitat_partage,a_verifier,"Simon de Cyrène Marseille est un habitat inclusif situé dans la commune de Marseille (13000), dans le département des Bouches-du-Rhône.",Bouches-du-Rhône (13),https://www.lespetitespierres.org/projet/un-habitat-partage-inclusif-a-marseille-2/,2026-01-15,personnes_agees
Maison Marguerite,Saint-Cannat,13760,,14 place de la République,04 42 50 82 00,,https://saint-cannat.fr/sante/maison-marguerite-maison-partagee-pour-seniors/,Habitat inclusif,habitat_partage,a_verifier,"Maison Marguerite est un habitat inclusif situé à Saint-Cannat, dans le département des Bouches-du-Rhône. Cette maison partagée pour seniors offre une alternative positive à la maison de retraite pour des personnes âgées autonomes ou en perte d'autonomie. Géré par l'établissement Maison Marguerite, ce lieu accueille 10 personnes qui bénéficient de l'accompagnement de 3 auxiliaires de vie bienveillantes, 7 jours sur 7.",Bouches-du-Rhône (13),https://www.maisonsmarguerite.com/nos-maisons/saint-cannat/,2026-01-15,personnes_agees
Logement Senior Aix-en-Provence & Colocation,Aix-en-Provence,13090,,7 Boulevard du roy René,,,https://www.residence-emmanuel-adar.com/fr/la-residence,Colocation avec services,habitat_partage,non_eligible,"Logement Senior Aix-en-Provence & Colocation est une résidence services située au 7 Boulevard du roy René à Aix-en-Provence, dans le département des Bouches-du-Rhône. Cette résidence est conçue pour accueillir des personnes âgées autonomes, seules ou en couple, qui cherchent à vivre de manière indépendante tout en bénéficiant d'un environnement plus sécurisé. Géré par l'établissement Logement Senior Aix-en-Provence & Colocation, cette résidence propose des appartements privatifs associés à des services collectifs tels que la buanderie, le ménage, et des animations locales.",Bouches-du-Rhône (13),https://www.colocation-adulte.fr/colocation-senior-a-aix-en-provence/colocataires-seniors,2026-01-15,personnes_agees
Habitat Collectif pour Seniors,Aix-en-Provence,13090,,Boulevard Kennedy,,,https://www.familleprovence.fr/qui-sommes-nous/nos-implantations-locales/les-paquerettes,Habitat inclusif,habitat_partage,a_verifier,"Habitat Collectif pour Seniors est un établissement inclusif situé au 13090 Aix-en-Provence, dans le département des Bouches-du-Rhône. Il est implanté sur le Boulevard Kennedy. Cet établissement est géré par l'établissement Habitat Collectif pour Seniors et accueille des seniors. Il propose 32 logements collectifs, sans logement individuel. Les parkings privatifs ne sont pas disponibles. Les caractéristiques énergétiques de l'établissement sont les suivantes : chauffage collectif, source d'énergie bois/gaz et performance énergétique non précisée.",Bouches-du-Rhône (13),https://www.colocation-adulte.fr/colocation-senior-a-aix-en-provence/colocataires-seniors,2026-01-15,personnes_agees
LES VILLAGES D’OR,LA FARE LES OLIVIERS,13580,CDC Habitat,600 Route des Oliviers,,,https://www.cdc-habitat.fr/programme/la-fare-les-oliviers/les-villages-dor,Habitat inclusif,habitat_partage,a_verifier,"LES VILLAGES D'OR, situé à la Fare-les-Oliviers (13580) dans le département des Bouches-du-Rhône, est un habitat inclusif géré par le CDC Habitat. Cette résidence senior propose des logements fonctionnels conçus pour le bien-être et la sécurité des résidents âgés. La résidence accueille des personnes âgées et propose des logements de 2 et 3 pièces équipés d'un hall avec placard, une cuisine non équipée ouverte sur le séjour, 1 ou 2 chambres, une salle d'eau avec douche au ras du sol, équipée d'un siège et de barres de maintien, ainsi que des places de stationnement.",Bouches-du-Rhône (13),https://www.cdc-habitat.fr/programme/la-fare-les-oliviers/les-villages-dor,2026-01-15,personnes_agees
Résidence sénior Vitrolles,Vitrolles,13127,API Résidence,2 avenue de la Petite Mer,09 72 10 10 01,,https://www.api-residence.fr/nos-residences/residence-senior-vitrolles/,Résidence services seniors,residence,a_verifier,"Résidence sénior Vitrolles est un habitat inclusif situé à Vitrolles, dans le département des Bouches-du-Rhône. Cette résidence est gérée par l'établissement Résidence sénior Vitrolles. La résidence sénior Vitrolles accueille les seniors, offrant des logements adaptés à leurs besoins. Les appartements, allant du studio au T2, sont dotés de mobilier 100% français spécialement conçu pour les seniors. Les résidents ont le choix entre un appartement clé en main ou d'apporter leurs meubles personnels.",Bouches-du-Rhône (13),https://www.api-residence.fr/nos-residences/residence-senior-vitrolles/,2026-01-15,personnes_agees
