nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Maison de Garches - Habitat sénior (béguinage),Garches,92380,FLS Fondation pour le Logement Social,,,,https://www.fls-fondation.org/maison/handicap-maison-de-garches/,Béguinage,logement_independant,non_eligible,"La Maison de Garches - Habitat sénior (béguinage) est un établissement situé à Garches, dans le département des Hauts-de-Seine. Il s'agit d'un béguinage qui accueille des personnes en situation de handicap et des voisins solidaires. Géré par l'établissement Maison de Garches - Habitat sénior (béguinage), cet établissement est conçu pour promouvoir la mixité et encourager la vie ordinaire au sein d'un logement adapté.",Hauts-de-Seine (92),https://www.fls-fondation.org/maison/handicap-maison-de-garches/,2026-01-10,personnes_agees
André Chénier,Bois-Colombes,92270,Hauts de Seine Habitat,19 rue André Chénier,,,https://www.hautsdeseinehabitat.fr/patrimoine/residence-andre-chenier,Habitat inclusif,habitat_partage,a_verifier,"Voici une présentation claire, factuelle et professionnelle de l'établissement André Chénier : L'établissement André Chénier est un habitat inclusif situé à Bois-Colombes, dans le département des Hauts-de-Seine. Il est géré par l'établissement André Chénier. Cet établissement accueille des personnes âgées ou handicapées, et propose des logements adaptés à leurs besoins. Les appartements sont composés de studios de 34m2 et de deux pièces de 45m2, et sont éligibles à l'aide personnalisée au logement (A.P.L.) et à l'aide sociale.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Les Tilleuls,Garches,92380,Hauts de Seine Habitat,6 rue de Suresnes,,,https://www.hautsdeseinehabitat.fr/patrimoine/les-tilleuls,Habitat inclusif,habitat_partage,a_verifier,"**Les Tilleuls : Un Habitat Inclusif à Garches** Les Tilleuls est un habitat inclusif situé au cœur de la ville de Garches, dans le département des Hauts-de-Seine.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Les Champs Philippe,La Garenne-Colombes,92250,Hauts de Seine Habitat,15-17 avenue de Verdun,,,https://www.hautsdeseinehabitat.fr/patrimoine/residence-les-champs-philippe,Habitat inclusif,habitat_partage,a_verifier,"Voici la présentation de l'établissement Les Champs Philippe : Les Champs Philippe est un habitat inclusif situé en centre ville de La Garenne-Colombes, dans le département des Hauts-de-Seine. Cette résidence accueille 71 logements, dont des appartements de 26 à 33 m² avec balcons, offrant un lieu de vie tonique et convivial. Géré par l'établissement Les Champs Philippe, cet habitat inclusif est conçu pour accueillir des personnes en situation de vulnérabilité, telles que les personnes âgées, les personnes handicapées ou les personnes en situation de précarité.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Paulette Spiess,Le Plessis-Robinson,92350,Hauts de Seine Habitat,23 de la Raye Tortue,,,https://www.hautsdeseinehabitat.fr/patrimoine/residence-paulette-spiess,Habitat inclusif,habitat_partage,a_verifier,"La Résidence Paulette Spiess est un établissement d'hébergement inclusif situé au cœur de la commune du Plessis-Robinson, dans le département des Hauts-de-Seine. Cette résidence accueille des personnes âgées ou à mobilité réduite, offrant un environnement convivial et sécurisé. Gérée par l'établissement Paulette Spiess, cette résidence propose des appartements de 33 m² avec loggia, ainsi que des services de soutien pour les résidents, tels que l'aide au logement et l'aide sociale.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Le Hameau,Meudon,92190,Hauts de Seine Habitat,2 rue du Hameau,,,https://www.hautsdeseinehabitat.fr/patrimoine/residence-le-hameau,Habitat inclusif,habitat_partage,a_verifier,"Voici une présentation claire, factuelle et professionnelle de 150 à 200 mots pour l'établissement Le Hameau : Le Hameau est un habitat inclusif situé à Meudon (92190), dans le département des Hauts-de-Seine. Géré par l'établissement Le Hameau, ce lieu accueille des personnes âgées ou à mobilité réduite. Le Hameau propose un environnement convivial et sécurisé, avec des logements adaptés aux besoins des résidents. Les appartements disposent de salles climatisées, de loggias ou de grands balcons, ainsi que de douches PMR pour certains logements.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Le Parc,Nanterre,92000,Hauts de Seine Habitat,58 boulevard de Pésaro,,,https://www.hautsdeseinehabitat.fr/patrimoine/residence-le-parc,Habitat inclusif,habitat_partage,a_verifier,"Le Parc est un habitat inclusif situé dans la commune de Nanterre, dans le département des Hauts-de-Seine. Il est géré par l'établissement Le Parc et offre un environnement convivial et familial. Le Parc accueille un public divers, notamment des personnes âgées ou handicapées, qui peuvent bénéficier de services adaptés à leurs besoins. Les résidents ont accès à un jardin privatif fleuri et arboré, protégé par des tonnelles, ainsi qu'à des activités et services variés, tels que des loisirs et animations, un restaurant, une laverie, une chambre d'hôte, un salon de coiffure et une inscription possible aux activités organisées par la ville. Les résidents de Le Parc peuvent également profiter de services de téléassistance 24h/24, d'un service de déjeuner à table, de repas à emporter, d'un salon, d'une bibliothèque, d'une vidéo, de conférences, d'un salon TV, de jeux de société et de jeux de mémoire, ainsi que d'une gymnastique douce et de relaxation. Le Parc est également accessible en RER A (Station La Défense ou Préfecture) ou en bus (Arrêt Bouvet, Carré vert).",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Les Nymphéas,Villeneuve-la-Garenne,92390,Hauts de Seine Habitat,3 rue de la Fosse aux Astres,01 47 92 05 12,nympheas@hdshabitat.fr,https://www.hautsdeseinehabitat.fr/patrimoine/residence-les-nympheas,Habitat inclusif,habitat_partage,a_verifier,"Voici une présentation claire, factuelle et professionnelle de l'établissement Les Nymphéas : **Introduction** Les Nymphéas est un habitat inclusif situé à Villeneuve-la-Garenne, dans le département des Hauts-de-Seine. Cette résidence offre un cadre de vie chaleureux et tonique, au cœur de la ville. **Gestionnaire et public accueilli** Les Nymphéas est géré par Hauts de Seine Habitat, un gestionnaire expérimenté dans le domaine de l'hébergement inclusif. Cette résidence accueille des personnes âgées, des personnes handicapées et des familles, offrant un environnement convivial et sécurisé.",Hauts-de-Seine (92),https://www.hautsdeseinehabitat.fr/,2026-01-10,personnes_agees
Habitat inclusif/partagé,Asnières-sur-Seine,92600,,"47, rue de la Concorde",01 47 90 90 77,,https://www.unapei92.fr/le-pole-hebergement/caj-d-asnieres/,Habitat inclusif,habitat_partage,a_verifier,"**Présentation de l'établissement Habitat inclusif/partagé** L'établissement Habitat inclusif/partagé est un habitat inclusif situé à Asnières-sur-Seine, dans le département des Hauts-de-Seine. Il est géré par l'établissement Habitat inclusif/partagé. **Public accueilli et objectifs** Cet établissement accueille en journée 34 personnes, à partir de 20 ans, en situation de handicap. Les objectifs poursuivis par l'équipe de l'établissement visent le développement de l'autonomie et des capacités des personnes accompagnées, leur épanouissement et leur bien-être.",Hauts-de-Seine (92),https://www.colocation-adulte.fr/colocation-senior-a-asnieres-sur-seine/colocataires-seniors,2026-01-10,personnes_handicapees
Béguinage,Asnières-sur-Seine,92600,,7 RUE PIERRE CURIE,,,https://www.pappers.fr/entreprise/groillon-christophe-489308999,Béguinage,logement_independant,non_eligible,"**Présentation de l'établissement Béguinage** L'établissement Béguinage est un béguinage situé à Asnières-sur-Seine, dans le département des Hauts-de-Seine. Ce lieu historique est géré par l'établissement Béguinage. L'établissement Béguinage accueille un public varié, notamment des personnes physiques et morales, et est dirigé par Christophe Groillon, entrepreneur individuel inscrit au RCS. L'établissement est également mandataire d'intermédiaire en assurance, sans maniement de fonds, depuis le 27 octobre 2023.",Hauts-de-Seine (92),https://www.colocation-adulte.fr/colocation-senior-a-asnieres-sur-seine/colocataires-seniors,2026-01-10,personnes_agees
