nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence autonomie Geoffroy Saint-Hilaire Paris 5e,,,Centre d'action sociale de la ville de Paris (CASVP),19 rue Geoffroy-Saint-Hilaire,01 43 36 17 69,casvp-s05@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750801052,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Geoffroy Saint-Hilaire Paris 5e est une résidence autonomie située à Paris, dans le 5e arrondissement. Elle est gérée par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence accueille des personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'un soutien adapté. Les résidents peuvent profiter d'une assistance pour les tâches ménagères, de l'aide pour les soins personnels et de l'accès à des activités sociales et culturelles.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-5e-arrondissement-75005/residence-autonomie-geoffroy-saint-hilaire/750801052,2026-01-10,personnes_agees
Résidence autonomie Georgette Agutte Paris 18e,,,Centre d'action sociale de la ville de Paris (CASVP),8 rue Georgette Agutte,01 42 29 62 58,,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750804049,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Georgette Agutte Paris 18e est un établissement situé dans le 18e arrondissement de Paris, géré par l'établissement lui-même. Cette résidence autonomie offre un environnement convivial et sécurisé pour les personnes âgées ou handicapées qui souhaitent maintenir leur autonomie. La Résidence autonomie Georgette Agutte Paris 18e accueille des personnes âgées ou handicapées qui nécessitent un soutien pour leur quotidien.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-18e-arrondissement-75018/residence-autonomie-georgette-agutte/750804049,2026-01-10,personnes_agees
Résidence autonomie La Glacière Paris 13e,,,Centre d'action sociale de la ville de Paris (CASVP),69 rue de la Glacière,01 45 80 05 48,casvp-s13@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750800872,Résidence autonomie,residence,a_verifier,"Résidence autonomie La Glacière Paris 13e est une résidence autonomie située à Paris, dans le 13e arrondissement. Elle est gérée par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence est conçue pour accueillir des personnes âgées qui souhaitent maintenir leur autonomie et leur indépendance. Le public accueilli comprend des personnes ayant des besoins spécifiques, telles que des personnes âgées dépendantes ou nécessitant des soins constants. La résidence propose des services tels que des repas, des activités sociales et des soins de santé.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-13e-arrondissement-75013/residence-autonomie-la-glaciere/750800872,2026-01-10,personnes_agees
Résidence autonomie Gramont Paris 2e,,,Centre d'action sociale de la ville de Paris (CASVP),28 rue de Gramont,01 42 60 43 61,,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750816100,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Gramont Paris 2e est un établissement situé au 28 rue de Gramont, dans le 2e arrondissement de Paris. Il s'agit d'une résidence autonomie gérée par l'établissement Résidence autonomie Gramont Paris 2e. Cette résidence est conçue pour accueillir des personnes âgées qui souhaitent maintenir leur autonomie et leur indépendance. Le public accueilli comprend des personnes âgées de 60 ans et plus qui nécessitent un soutien pour leur quotidien, mais qui souhaitent continuer à vivre dans un environnement convivial et sécurisé.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-2e-arrondissement-75002/residence-autonomie-gramont/750816100,2026-01-10,personnes_agees
Résidence autonomie Grange aux Belles Paris 10e,,,Centre d'action sociale de la ville de Paris (CASVP),11 rue Boy-Zelenski,01 42 45 41 76,casvp-s10@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750801128,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Grange aux Belles Paris 10e est un établissement situé à Paris, dans le 10e arrondissement, au 11 rue Boy-Zelenski. Elle est gérée par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence autonomie accueille des personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'une assistance et d'un soutien adaptés à leurs besoins. Les résidents peuvent profiter de services tels que des repas, des activités sociales et des soins de santé, ainsi que d'équipements tels que des salles de réunion, des espaces de loisirs et des services de blanchisserie. La Résidence autonomie Grange aux Belles Paris 10e est un lieu convivial où les résidents peuvent vivre en harmonie avec les autres, tout en bénéficiant d'une assistance personnalisée. Les coordonnées de l'établissement sont les suivantes : 01 42 45 41 76 et casvp-s10@paris.fr.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-10e-arrondissement-75010/residence-autonomie-grange-aux-belles/750801128,2026-01-10,personnes_agees
Résidence autonomie Grenelle Paris 15e,,,Centre d'action sociale de la ville de Paris (CASVP),44 boulevard de Grenelle,01 56 56 23 15,president@foyerdegrenelle.org,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750043036,Résidence autonomie,residence,a_verifier,"Résidence autonomie Grenelle Paris 15e est une résidence destinée aux personnes âgées qui souhaitent maintenir leur autonomie. Située au 44 boulevard de Grenelle, elle est gérée par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence accueille des personnes âgées qui souhaitent vivre de manière autonome tout en bénéficiant d'une aide et d'un soutien adaptés à leurs besoins. Les résidents peuvent profiter d'une gamme de services, notamment une aide à la personne, une assistance médicale et des activités récréatives et culturelles.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-15e-arrondissement-75015/residence-autonomie-grenelle/750043036,2026-01-10,personnes_agees
Résidence autonomie Haxo Paris 20e,,,Centre d'action sociale de la ville de Paris (CASVP),84 rue Haxo,01 43 61 94 51,,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750824880,Résidence autonomie,residence,a_verifier,"Résidence autonomie Haxo Paris 20e est une résidence autonomie située dans le 20e arrondissement de Paris. Elle est gérée par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence accueille des personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'un soutien et d'une assistance adaptés à leurs besoins. Les résidents peuvent profiter d'une vie sociale active, avec des activités et des animations proposées par l'établissement.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-20e-arrondissement-75020/residence-autonomie-haxo/750824880,2026-01-10,personnes_agees
Résidence autonomie Jean Calvin Paris 5e,,,Centre d'action sociale de la ville de Paris (CASVP),2 rue Jean Calvin,01 45 35 55 12,casvp-s05@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750801078,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Jean Calvin Paris 5e est une structure d'hébergement pour personnes âgées ou handicapées, située au 2 rue Jean Calvin, dans le 5e arrondissement de Paris. Gérée par le Centre d'action sociale de la ville de Paris (CASVP), cette résidence accueille des personnes ayant besoin d'une aide pour leur autonomie, bénéficiaires de l'Allocation Personnalisée d'Autonomie (APA), de l'Aide Sociale à l'Hébergement (ASH) ou de l'Allocation de Logement Social (ALS). Les résidents bénéficient d'une aide pour leur quotidien, ainsi que d'une assistance pour les activités quotidiennes.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-5e-arrondissement-75005/residence-autonomie-jean-calvin/750801078,2026-01-10,personnes_agees
Résidence autonomie Jean Moréas Paris 17e,,,Centre d'action sociale de la ville de Paris (CASVP),12 rue Jean Moréas,01 43 80 60 88,casvp-s17@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750816761,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Jean Moréas Paris 17e est une structure de type résidence autonomie située à Paris, dans le 17e arrondissement. Gérée par le Centre d'action sociale de la ville de Paris (CASVP), cette résidence accueille des personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'une assistance et d'un soutien adaptés à leurs besoins. La Résidence autonomie Jean Moréas Paris 17e propose des services tels que des repas, des activités sociales et des soins de santé, ainsi que des équipements tels que des salles de loisirs, des espaces de repos et des services de blanchisserie.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-17e-arrondissement-75017/residence-autonomie-jean-moreas/750816761,2026-01-10,personnes_agees
Résidence autonomie Jean Nicot Paris 7e,,,Centre d'action sociale de la ville de Paris (CASVP),7 rue Jean Nicot,01 45 39 49 29,,https://www.paris.fr/pages/logement-seniors-45,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Jean Nicot Paris 7e est une structure de type résidence autonomie située dans le 7e arrondissement de Paris. Cette résidence est gérée par le Centre d'action sociale de la ville de Paris (CASVP). La Résidence autonomie Jean Nicot Paris 7e accueille des personnes âgées qui souhaitent maintenir leur autonomie et leur indépendance. Elle est conçue pour offrir un environnement convivial et sécurisé, permettant aux résidents de vivre dans la dignité et la sécurité.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-7e-arrondissement-75007/residence-autonomie-jean-nicot/750804072,2026-01-10,personnes_agees
Résidence autonomie Jemmapes Paris 10e,,,Centre d'action sociale de la ville de Paris (CASVP),126 quai de Jemmapes,01 48 03 43 45,casvp-s10@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750816308,Résidence autonomie,residence,a_verifier,"La Résidence autonomie Jemmapes Paris 10e est un établissement de type résidence autonomie situé au 126 quai de Jemmapes, dans le 10e arrondissement de Paris. Géré par le Centre d'action sociale de la ville de Paris (CASVP), cet établissement accueille des personnes âgées qui souhaitent maintenir leur autonomie et leur indépendance. La Résidence autonomie Jemmapes Paris 10e est conçue pour répondre aux besoins de personnes âgées qui nécessitent un soutien pour leur quotidien, tout en conservant leur autonomie.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-10e-arrondissement-75010/residence-autonomie-jemmapes/750816308,2026-01-10,personnes_agees
Résidence autonomie de la Jonquière Paris 17e,,,Centre d'action sociale de la ville de Paris (CASVP),87 rue de la Jonquière,01 42 26 77 82,,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750824872,Résidence autonomie,residence,a_verifier,"La Résidence autonomie de la Jonquière Paris 17e est une structure de type résidence autonomie située à Paris, dans le 17e arrondissement. Elle est implantée à l'adresse 87 rue de la Jonquière. Gérée par le Centre d'action sociale de la ville de Paris (CASVP), cette résidence accueille des personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'un soutien adapté à leurs besoins.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-17e-arrondissement-75017/residence-autonomie-de-la-jonquiere/750824872,2026-01-10,personnes_agees
Résidence autonomie Jouvenet Paris 16e,,,Centre d'action sociale de la ville de Paris (CASVP),23 rue Jouvenet,01 45 25 84 82,casvp-s16@paris.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=750800963,Résidence autonomie,residence,a_verifier,"Résidence autonomie Jouvenet Paris 16e est un établissement situé à Paris, dans le 16e arrondissement. Il est géré par le Centre d'action sociale de la ville de Paris (CASVP). Cette résidence autonomie accueille les personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'une aide et d'un soutien adaptés à leurs besoins. Les résidents peuvent ainsi profiter d'une vie indépendante tout en bénéficiant de services tels que la gestion des tâches ménagères, l'aide à la préparation des repas et l'accompagnement pour les sorties.",Département (75),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/paris-75/paris-16e-arrondissement-75016/residence-autonomie-jouvenet/750800963,2026-01-10,personnes_agees
