nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie MARPA Les Genêts Val d'Erdre-Auxence, MAINE-ET-LOIRE",Val Derdre Auxence,49440,CCAS,18 rue du Genêt,02 41 92 90 58,lesgenets@residences-vea.fr,https://www.marpa.fr/,MARPA,residence,a_verifier,"MARPA située à Val Derdre Auxence, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/val-derdre-auxence-49440/residence-autonomie-marpa-les-genets/490541125,2026-01-30,personnes_agees
"Résidence autonomie Les Cèdres Noyant-Villages, MAINE-ET-LOIRE",Noyant Villages,49390,CCAS,1 rue des Cèdres,02 41 82 63 11,accueil.ralescedres@noyant-villages.fr,https://www.residence-lescedres49.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Noyant Villages, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/noyant-villages-49390/residence-autonomie-les-cedres/490003944,2026-01-30,personnes_agees
"Résidence autonomie Les Champs Fleuris Les Ponts-de-Cé, MAINE-ET-LOIRE",Les Ponts de Ce,49130,CCAS,2 avenue de la Guillebotte,02 41 44 90 27,ehpa-champsfleuris@ville-lespontsdece.fr,https://www.lespontsdece.fr/services-demarches/social-et-solidarites/seniors/structures-dhebergement/residence-autonomie-les-champs-fleuris,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Les Ponts de Ce, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/les-ponts-de-ce-49130/residence-autonomie-les-champs-fleuris/490003977,2026-01-30,personnes_agees
"Résidence autonomie Les Jonquilles Loire-Authion, MAINE-ET-LOIRE",Loire Authion,49140,La Résidence Sociale,1 allée des Jonquilles,02 41 45 15 46,animation.lesjonquilles@laresidencesociale.org,https://www.has-sante.fr/jcms/7114_FicheESSMS/fr/residence-les-jonquilles,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Loire Authion, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/loire-authion-49140/residence-autonomie-les-jonquilles/490539376,2026-01-30,personnes_agees
Résidence autonomie Notre Dame,Cholet,49300,CIAS,7 rue Tournerit,02 41 62 85 79,contact@choletagglomeration.fr,https://www.cholet.fr/chaines/dossier_371_residences+epa.html,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Cholet, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/cholet-49300/residence-autonomie-notre-dame/490532025,2026-01-30,personnes_agees
"Résidence autonomie La Maison d'Accueil La Séguinière, MAINE-ET-LOIRE",La Seguiniere,49280,Association La Maison d'Accueil,9 rue du Sacré Coeur,02 41 56 93 05,contact@maisondaccueil.net,http://www.mairie-laseguiniere.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à La Seguiniere, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/la-seguiniere-49280/residence-autonomie-la-maison-daccueil/490003993,2026-01-30,personnes_agees
"Résidence autonomie La Grand Maison Montreuil-Juigné, MAINE-ET-LOIRE",Montreuil Juigne,49460,VYV3 Pays de la Loire - Personnes âgées,5 rue Pierre Mendès France,02 41 42 71 09,accueil.lagrandmaison@vyv3.fr,https://pdl.vyv3.fr/personnes-agees,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Montreuil Juigne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/montreuil-juigne-49460/residence-autonomie-la-grand-maison/490540416,2026-01-30,personnes_agees
"Résidence autonomie Le Clos des Lilas Le Coudray-Macouard, MAINE-ET-LOIRE",Le Coudray Macouard,49260,CCAS,8 place de la Douve,02 41 67 98 10,leclosdeslilas49@orange.fr,https://www.has-sante.fr/jcms/14814_FicheESSMS/fr/residence-le-clos-des-lilas,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Le Coudray Macouard, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/le-coudray-macouard-49260/residence-autonomie-le-clos-des-lilas/490541141,2026-01-30,personnes_agees
"Résidence autonomie du Valboyer Baugé-en-Anjou, MAINE-ET-LOIRE",Bauge En Anjou,49150,Association Anne de Melun,2 rue du Valboyer,02 41 89 81 51,contact@valboyer.fr,https://www.annedemelun.fr/index.php?page=presentation-valboyer,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Bauge En Anjou, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/bauge-en-anjou-49150/residence-autonomie-du-valboyer/490543295,2026-01-30,personnes_agees
Résidence autonomie Les Camélias,Tuffalun,49700,CCAS,,02 41 59 37 22,lescamelias@tuffalun.fr,https://tuffalun.fr/solidarite/la-residence-autonomie-les-camelias/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Tuffalun, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (49),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/maine-et-loire-49/tuffalun-49700/residence-autonomie-les-camelias/490542206,2026-01-30,personnes_agees
