nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie Saint Eloy les Mines Saint-Éloy-les-Mines, PUY-DE-DOME",Saint Eloy Les Mines,63700,CCAS,,04 73 85 16 72,foyer.logement.steloy@wanadoo.fr,https://www.sainteloylesmines.fr/centre-communal-daction-sociale/les-structures/le-jardin-d-alois/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Saint Eloy Les Mines, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/saint-eloy-les-mines-63700/residence-autonomie-saint-eloy-les-mines/630785269,2026-01-22,personnes_agees
"Résidence autonomie Les Tilleuls Saint-Anthème, PUY-DE-DOME",Saint Antheme,63660,CCAS,27 route de Saint Clement,04 73 95 83 46,unite-de-vie@orange.fr,https://www.has-sante.fr/jcms/6100_FicheESSMS/fr/residence-autonomie-les-tilleuls,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Saint Antheme, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/saint-antheme-63660/residence-autonomie-les-tilleuls/630787679,2026-01-22,personnes_agees
Résidence autonomie Les Nymphéas,Lempdes,63370,CCAS,8 rue de Clermont,04 73 61 66 02,foyerlesnympheas@mairie-lempdes.fr,https://www.has-sante.fr/jcms/1260_FicheESSMS/fr/residence-autonomie-les-nympheas,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Lempdes, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/lempdes-63370/residence-autonomie-les-nympheas/630790095,2026-01-22,personnes_agees
"Résidence autonomie Le Cornonet Cournon-d'Auvergne, PUY-DE-DOME",Cournon Dauvergne,63800,CCAS,4 avenue du Livradois,04 73 84 89 17,ReisdenceAutonomie@cournon-auvergne.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=630785277,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Cournon Dauvergne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/cournon-dauvergne-63800/residence-autonomie-le-cornonet/630785277,2026-01-22,personnes_agees
Résidence autonomie La Cascade,Issoire,63500,CCAS,9 rue Raoul Bardy,04 73 89 47 29,residenceautonomie.lacascade@ccasissoire.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=630786119,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Issoire, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/issoire-63500/residence-autonomie-la-cascade/630786119,2026-01-22,personnes_agees
"Résidence autonomie Marie et Marius Viple Clermont-Ferrand, PUY-DE-DOME",Clermont Ferrand,63000,CCAS,37 rue Antoine Bellet,04 73 25 60 61,direction@ccas-clermont-ferrand.fr,https://clermont-ferrand.fr/le-ccas,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Clermont Ferrand, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/clermont-ferrand-63000/residence-autonomie-marie-et-marius-viple/630783371,2026-01-22,personnes_agees
"Résidence autonomie Michel Charasse Puy-Guillaume, PUY-DE-DOME",Puy Guillaume,63290,CIAS,3 rue Pasteur,04 73 94 10 22,mcharasse@cias-tdm.fr,https://www.has-sante.fr/jcms/10280_FicheESSMS/fr/foyer-logement-le-colombier,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Puy Guillaume, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/puy-guillaume-63290/residence-autonomie-michel-charasse/630785731,2026-01-22,personnes_agees
"Résidence autonomie Alexandre Varenne Clermont-Ferrand, PUY-DE-DOME",Clermont Ferrand,63000,CCAS,100 rue Fontgiève,04 73 36 88 66,direction@ccas-clermont-ferrand.fr,https://clermont-ferrand.fr/le-ccas,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Clermont Ferrand, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/clermont-ferrand-63000/residence-autonomie-alexandre-varenne/630786184,2026-01-22,personnes_agees
Résidence autonomie Les Charmilles,Beaumont,63110,Mutualité,385 rue du Montant,04 73 26 51 49,lescharmilles@mutualite-loire.com,https://www.aesio-sante.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Beaumont, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/beaumont-63110/residence-autonomie-les-charmilles/630790046,2026-01-22,personnes_agees
"Résidence autonomie Les Tilleuls Saint-Gervais-d'Auvergne, PUY-DE-DOME",Saint Gervais Dauvergne,63390,Commune,2 rue Etienne Maison,04 73 85 83 23,foyerlogement@paysdesainteloy.fr,https://www.paysdesainteloy.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Saint Gervais Dauvergne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/saint-gervais-dauvergne-63390/residence-autonomie-les-tilleuls/630785749,2026-01-22,personnes_agees
Résidence autonomie Jeanne d'Arc,Riom,63200,Fondation Luce de Montgon,27 rue Jeanne d'Arc,04 73 64 25 25,contact@residencejeannedarc.org,http://foyer-jeannedarc-riom.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Riom, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/riom-63200/residence-autonomie-jeanne-darc/630784577,2026-01-22,personnes_agees
"Résidence autonomie MARPA Saint-Sauves-d'Auvergne, PUY-DE-DOME",Saint Sauves Dauvergne,63950,CCAS,,04 73 81 00 62,marpa.st-sauves@orange.fr,https://www.marpa.fr/residences-retraite/residence-du-parc-saint-sauves-63/,MARPA,residence,a_verifier,"MARPA située à Saint Sauves Dauvergne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/saint-sauves-dauvergne-63950/residence-autonomie-marpa/630005759,2026-01-22,personnes_agees
"Résidence autonomie Cébazat, PUY-DE-DOME",Cebazat,63118,SISPA Vivre Ensemble,,04 73 14 36 20,secretariatsispa@sispa63.fr,https://sispa-vivre-ensemble.fr/residence-autonomie/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Cebazat, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (63),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/puy-de-dome-63/cebazat-63118/residence-autonomie/630017267,2026-01-22,personnes_agees
Résidence Services Cazam,Clermont-Ferrand,63000,Residences-Cazam,35 rue Jeanne d'Arc,04 15 54 03 00,,https://www.residences-cazam.com/nos-residences/cazam-clermont-ferrand/,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Castel du Val,Pérignat-lès-Sarliève,63170,Domitys,42 allée Bonneval,04 82 29 73 91,,https://www.domitys.fr/residence-services-senior/auvergne-rhone-alpes/puy-de-dome-63/perignat-les-sarlieve-le-castel-du-val-63,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Puy des Olivines,Clermont-Ferrand,63100,Ovelia,15 rue Niel,04 44 09 00 29,,https://www.ovelia.fr/residences-seniors/clermont-ferrand-puy-olivines,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Girandières -,Clermont-Ferrand,63100,Girandieres,42 rue du Clos Four,08 00 96 99 96,,https://www.girandieres.com/residences-seniors/auvergne-rhone-alpes/clermont-ferrand-296.html,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Jardins d'Arcadie -,Châtel-Guyon,63140,Jardins-Arcadie,Avenue General de Gaulle,04 73 97 66 19,,https://jardins-arcadie.fr/residence/residence-seniors-chatel-guyon,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Villages d’Or,Clermont-Ferrand,63000,Les-Villages-Dor,8 rue Colbert,08 00 00 79 29,,https://www.les-villages-dor.com/residences-seniors/les-villages-d-or-clermont-ferrand,Résidence services seniors,residence,a_verifier,,63,pour-les-personnes-agees.gouv.fr,,personnes_agees
Maison partagée Chabreloche,Chabreloche,63250,Ages & Vie,2A ET 2B RUE DU CHAMP DE FOIRE,0801 07 08 09,,https://agesetvie.com/maisons-partagees/auvergne-rhone-alpes/puy-de-dome-63/chabreloche-63250/maisons-partagees-chabreloche,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Chabreloche est une colocation avec services située à Chabreloche, dans le département du Puy-de-Dôme. Cette maison partagée est gérée par l'établissement Maison partagée Chabreloche. La Maison partagée Chabreloche accueille les seniors en perte d'autonomie, offrant un accompagnement personnalisé pour les besoins de chacun. L'équipe d'auxiliaires de vie est présente 7 jours sur 7 pour aider aux gestes du quotidien, tels que l'aide au lever, au coucher, à la toilette, ainsi que la préparation de repas faits maison et l'entretien du linge.",Puy-de-Dôme (63),https://agesetvie.com/maisons-partagees/auvergne-rhone-alpes/puy-de-dome-63,2026-01-22,personnes_agees
Maison partagée Saint-Rémy-sur-Durolle,Saint-Rémy-sur-Durolle,63550,Ages & Vie,6 ROUTE DU SAINT RÉMOIS,0801 07 08 09,,https://agesetvie.com/maisons-partagees/auvergne-rhone-alpes/puy-de-dome-63/saint-remy-sur-durolle-63550/maisons-partagees-saint-remy-sur-durolle,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Saint-Rémy-sur-Durolle est un établissement de colocation avec services situé à Saint-Rémy-sur-Durolle, dans le département du Puy-de-Dôme. Cette maison partagée est gérée par l'établissement Maison partagée Saint-Rémy-sur-Durolle. Cette maison partagée est spécifiquement conçue pour accueillir les seniors en perte d'autonomie, offrant un environnement convivial et sécurisant. L'équipe d'auxiliaires de vie présente sur place 7 jours sur 7 fournit un accompagnement personnalisé pour les gestes du quotidien, tels que l'aide au lever, au coucher, à la toilette, ainsi que la préparation de repas faits maison et l'entretien du linge. Les résidents bénéficient également d'une téléalarme pour intervention d'auxiliaires de vie, nuit et jour. La Maison partagée Saint-Rémy-sur-Durolle propose une solution de proximité pour les personnes âgées qui souhaitent maintenir leur autonomie tout en bénéficiant d'un accompagnement adapté à leurs besoins. Les résidents peuvent librement continuer à mener leur vie, vivre en couple, avoir un animal de compagnie et disposer de la clé de leur logement pour aller, venir et recevoir qui ils le souhaitent.",Puy-de-Dôme (63),https://agesetvie.com/maisons-partagees/auvergne-rhone-alpes/puy-de-dome-63,2026-01-22,personnes_agees
