"code_insee","commune","departement","code_departement","population"
"77014","Barbey","Seine-et-Marne","77","13651"
"77053","Chailly-en-Bière","Seine-et-Marne","77","19003"
"77058","Chalifert","Seine-et-Marne","77","27498"
"77067","Charny","Seine-et-Marne","77","11222"
"77083","Clutots","Seine-et-Marne","77","27451"
"77108","Dammarie-les-Lys","Seine-et-Marne","77","54620"
"77118","Éverly","Seine-et-Marne","77","13353"
"77122","Férolles-Attilly","Seine-et-Marne","77","23350"
"77131","Fossoy","Seine-et-Marne","77","16374"
"77152","Herme","Seine-et-Marne","77","23559"
