nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie L'Orangerie Corny-sur-Moselle, MOSELLE",Corny sur-Moselle,57680,Association Entraide et Action,1 place du Souvenir,03 87 52 80 31,orangerie.corny@gmail.com,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=570015552,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Corny sur-Moselle, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/corny-sur-moselle-57680/residence-autonomie-lorangerie/570015552,2025-12-29,personnes_agees
Résidence autonomie Saint Nicolas,Metz,57000,CCAS,6 rue du Père Potot,03 87 37 31 46,contact@ccas.mairie-metz.fr,https://metz.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Metz, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/metz-57000/residence-autonomie-saint-nicolas/570015586,2025-12-29,personnes_agees
Résidence autonomie Sainte Croix,Metz,57000,CCAS,10 rue du Haut de Sainte-Croix,03 87 74 61 93,contact@ccas.mairie-metz.fr,https://metz.fr/lieux/lieu-3602.php,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Metz, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/metz-57000/residence-autonomie-sainte-croix/570005314,2025-12-29,personnes_agees
Résidence autonomie Sainte-Barbe,Folschviller,57730,Association du Troisième Âge,30 rue Gustave Charpentier,03 87 92 85 51,aafpastebarbe@gmail.com,https://www.has-sante.fr/jcms/10444_FicheESSMS/fr/residence-ste-barbe,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Folschviller, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/folschviller-57730/residence-autonomie-sainte-barbe/570010470,2025-12-29,personnes_agees
"Résidence autonomie Sainte-Barbe Freyming-Merlebach, MOSELLE",Freyming Merlebach,57800,Association Simone Veil,2 rue Basse,03 87 00 27 27,c.constantin@asveil.fr,https://associationsimoneveil.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Freyming Merlebach, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/freyming-merlebach-57800/residence-autonomie-sainte-barbe/570008425,2025-12-29,personnes_agees
Résidence autonomie Sainte-Madeleine,Thionville,57100,Fondation Lenternier - Thionville,73 boucle de la Milliaire,03 82 88 40 11,nathalie.stier@ste-madeleine.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=570005298,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Thionville, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/thionville-57100/residence-autonomie-sainte-madeleine/570005298,2025-12-29,personnes_agees
"Résidence autonomie Soleil Freyming-Merlebach, MOSELLE",Freyming Merlebach,57800,Association Simone Veil,,03 87 00 27 27,c.constantin@asveil.fr,https://associationsimoneveil.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Freyming Merlebach, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (57),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/moselle-57/freyming-merlebach-57800/residence-autonomie-soleil/570004929,2025-12-29,personnes_agees
Résidences Comme Toit,Montigny-lès-Metz,57950,,rue Saint-Ladre,,,https://residences-commetoit.fr/residences-adaptees/montigny-les-metz/,Habitat inclusif,habitat_partage,a_verifier,"Résidences Comme Toit est un établissement d'hébergement inclusif situé à Montigny-lès-Metz, dans le département de la Moselle. Cette résidence est conçue pour accueillir des personnes en situation de handicap et leur offrir un environnement adapté et sécurisé. Géré par l'établissement Résidences Comme Toit, ce lieu de vie est conçu pour répondre aux besoins spécifiques de ses résidents. La résidence est ouverte et neuve, offrant un espace de vie confortable et fonctionnel.",Moselle (57),https://residences-commetoit.fr/,2025-12-29,personnes_agees
Maison partagée L'hôpital,L'Hôpital,57490,Ages & Vie,8 RUE DE LA VALLÉE,0801 07 08 09,,https://agesetvie.com/maisons-partagees/grand-est/moselle-57/l-hopital-57490/maisons-partagees-l-hopital,Colocation avec services,habitat_partage,non_eligible,"Maison partagée L'hôpital, située à L'Hôpital (57490) dans le département de la Moselle, est une colocation avec services gérée par l'établissement. Cette structure propose une solution de proximité pour les personnes âgées ou nécessitant une aide à la vie quotidienne. La Maison partagée L'hôpital accueille des personnes âgées ou nécessitant une aide à la vie quotidienne, offrant ainsi une alternative à la maison de retraite traditionnelle. Les locataires peuvent profiter d'un environnement convivial et d'une prise en charge personnalisée.",Moselle (57),https://agesetvie.com/maisons-partagees/grand-est/moselle-57,2025-12-29,personnes_agees
Maison ou Habitat Partagé pour Retraités,Postroff,57930,,,06 18 40 65 35,,https://www.socorebat-france.fr/lorraine/moselle/postroff/entreprise-de-renovation,Habitat inclusif,habitat_partage,a_verifier,"**Présentation de l'établissement Maison ou Habitat Partagé pour Retraités** **Introduction** La Maison ou Habitat Partagé pour Retraités est un établissement d'hébergement inclusif situé à Postroff, dans le département de la Moselle. Ce type d'établissement offre une solution de vie en communauté pour les retraités, favorisant l'interaction sociale et l'aide mutuelle. **Gestionnaire et public accueilli** L'établissement Maison ou Habitat Partagé pour Retraités est géré par l'établissement lui-même.",Moselle (57),https://www.colocation-adulte.fr/colocation-senior-a-postroff/colocataires-seniors,2025-12-29,personnes_agees
