nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
Résidence Services Les Jardins d'Arcadie,Tourcoing,59200,Jardins-Arcadie,48 Rue des Ursulines,03 20 01 85 83,,https://jardins-arcadie.fr/residence/residence-seniors-tourcoing,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Le Clos des Bouquets d'Or,Rousies,59131,Afeji,1 Rue Jules Huart,03 27 58 24 60,,https://www.afeji.org/etablissement/residence-services-le-clos-des-bouquets-dor/,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services,Saint-André-lez-Lille,59350,API Résidence,32 rue Gisèle Halimi,03 74 09 92 99,,https://www.api-residence.fr/nos-residences/residence-services-senior-st-andre-lez-lille/,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services La Capeline,Téteghem-Coudekerque-Village,59229,Domitys,1 Rue Charles Hennebelle,03 59 28 81 91,,https://www.domitys.fr/residence-services-senior/hauts-de-france/nord-59/teteghem-la-capeline-59,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Villages d'Or,Saint-André-lez-Lille,59350,Les-Villages-Dor,1 Rue Lavoisier,08 00 00 79 29,,https://www.les-villages-dor.com/residences-seniors/les-villages-d-or-saint-andre-lez-lille,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Villa Ulma,Lille,59000,Domitys,Rue Albert Thomas (Lomme),03 59 28 71 58,,https://www.domitys.fr/residence-services-senior/hauts-de-france/nord-59/lomme-villa-ulma-59,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Résidence Services Les Quatre Jardins,Saint-Saulve,59880,Ovelia,39 Rue Henri Barbusse,03 76 33 01 56,,https://www.ovelia.fr/residences-seniors/valenciennes-saint-saulve-quatre-jardins,Résidence services seniors,residence,a_verifier,,59,pour-les-personnes-agees.gouv.fr,,personnes_agees
Maison partagée Marpent,Marpent,59164,Ages & Vie,,,,,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Marpent est une colocation située à Marpent, dans le département du Nord. Cette communauté résidentielle offre un environnement convivial et sécurisé pour les personnes qui cherchent à partager un espace de vie. Géré par l'établissement Maison partagée Marpent, cet endroit accueille des individus souhaitant vivre en colocation. Les résidents peuvent profiter d'une atmosphère chaleureuse et de la possibilité de partager les tâches ménagères et les coûts.",Nord (59),https://agesetvie.com/maisons-partagees/hauts-de-france/nord-59,2026-01-15,personnes_agees
Maison partagée Boussois,Boussois,59168,Ages & Vie,,,,https://agesetvie.com/maisons-partagees/hauts-de-france/nord-59/boussois-59168/maisons-partagees-boussois,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Boussois est un établissement de colocation avec services situé dans la commune de Boussois, dans le département du Nord. Cette maison partagée est gérée par l'établissement Maison partagée Boussois. La Maison partagée Boussois accueille des personnes âgées qui cherchent un environnement convivial et sécurisé. L'établissement propose des services adaptés aux besoins de ses résidents, notamment une qualité des repas, une attention du personnel aux résidents et des contacts faciles avec la gestion.",Nord (59),https://agesetvie.com/maisons-partagees/hauts-de-france/nord-59,2026-01-15,personnes_agees
Maison partagée Walincourt-Selvigny,Walincourt-Selvigny,59127,Ages & Vie,1 RUE DU NOUVEAU SIÈCLE,0801 07 08 09,,https://agesetvie.com/maisons-partagees/hauts-de-france/nord-59/walincourt-selvigny-59127/maisons-partagees-walincourt-selvigny,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Walincourt-Selvigny est une colocation avec services située à Walincourt-Selvigny, dans le département du Nord. Cette maison partagée est gérée par l'établissement Maison partagée Walincourt-Selvigny et offre un environnement convivial et agréable. La maison est conçue pour accueillir des personnes âgées et/ou handicapées, offrant un soutien et une assistance adaptés à leurs besoins. Les services proposés incluent une alimentation avec des horaires convenables, une ambiance familiale et une qualité de vie agréable.",Nord (59),https://agesetvie.com/maisons-partagees/hauts-de-france/nord-59,2026-01-15,personnes_agees
