id,nom,commune
06e9c213-50ca-4353-9ff3-d607d6d3a12f,Habitat inclusif SOLIHA Landes – Donzacq / Saint‑Geours‑de‑Maremne / Mimizan,"Dax (Donzacq, St‑Geours‑de‑Maremne, Mimizan)"
11305639-bfaa-4b4d-9345-feafdc79b6ed,Résidence Le Grand Pavillon,Donzacq
a7b3a6f0-0ccc-4897-bf2b-8e21302ee0fd,Résidence intergénérationnelle L’Aéropostale,Parentis-en-Born
2ff48fd0-c72a-4b3c-9743-fa2176b06306,Habitat partagé DOMANI – Mimizan (Les Balcons des Pêcheurs),Mimizan
411140df-75d0-4957-a4b8-56745a22074b,Les Jardins du Soleil,Mugron
e11bf6a6-fbcd-4547-9d26-39c082753248,Le Soleil du Yet,Amou
84082205-d89c-4d3a-9151-cba4496692c2,Les Jardins d’Arcadie Dax,Dax
55a3ccc0-0e09-4f99-ac05-b96e9c4e6c5a,Domitys Les Craies Blanches,Mont-de-Marsan
fc0f8e80-f57e-45fa-9c2d-65e135a988c5,Domitys Les Sources de Gascogne,Dax
0aa889e9-7d81-4719-8ad5-fbb1edb20bb9,Résidence pour Personnes Âgées de Lillot,Sanguinet
ffde37fd-a3ba-49ba-9519-dd707f24b1c3,Résidence autonomie La Martinère,Saint-Martin-de-Seignanx
0980b819-3ac6-4b66-8015-6d30db9de69e,Résidence autonomie A Nouste,Saint-Sever
1be46336-1b5c-438a-94e7-177f3bf4aa06,Villa en Vasconie,Mont-de-Marsan
a2750496-abab-4f0b-a46d-4005c6ec61a4,Résidence Loic Danto,Ossun
00fe703f-a283-4b2f-b733-9db3b2d6ce7f,Résidence Autonomie Les Acacias,Auch
374494af-b203-45bf-9c73-933241b0c509,Colocation Les Ajoncs,Lourdes
b0bd8857-db55-48b9-886f-f8971a0cae66,Résidence Services Les Alpilles,Gaillac
822ca2ac-c579-4ba9-9ea1-4c27dcc49c6f,Habitat Intergénérationnel Les Primevères,Pamiers
d2ab5bc2-2844-42a2-bf8c-77e7d26270f0,Colocation Les Hortensias,Lavelanet
de103338-987c-435b-b79e-ba53ef4473db,Résidence Les Tilleuls,Tarbes
d9ff533e-a710-47cd-abea-61566e84e2e4,Colocation Les Mimosas,Rodez
1aaf4592-be85-4654-9bd0-f8a709b2719a,Résidence Services Les Glycines,Graulhet
1e7ff015-4f94-41bc-b670-9419e0a37a55,Résidence Services Les Érables,Millau
5cba0d1f-91f0-4661-9523-92987d3ee73a,Habitat Partagé Les Chênes,Foix
90afbbce-cbdf-4a6f-8f89-a0d038f40c33,Résidence Autonomie Le Cèdre,Mende
f66b7104-429f-42d9-bbd8-9386734e61ef,Habitat Intergénérationnel Les Coquelicots,Albi
7039fff6-bd5e-47d1-92e9-89979793878a,Résidence Services Le Belvédère,Muret
9bb731e7-9196-4b3a-b971-aae6e9213f45,Accueil Familial Les Myosotis,Castres
19f68857-a2b4-434a-aab8-a5a4c8e246b3,Habitat Inclusif La Source,Figeac
5015ce85-d377-4330-b1c4-53c82636b663,Résidence Autonomie Les Peupliers,Cahors
c88690ca-e630-4f33-b42f-75a4c3cad4f2,Béguinage Saint-Jacques,Mazamet
8a270390-a780-4e94-8f85-46e5d7c92e0e,Béguinage Sainte-Claire,Pau
693b5ca1-c0ba-43dd-b66f-30450f207c10,Habitat Partagé Les Pins,Moissac
ad68fab3-22ea-4684-99e5-1d128cb8035a,Coliving Les Oliviers,Montauban
9daf8dfd-9c53-48fc-876e-e36f4f3c4c9b,Résidence Les Tilleuls,Tarbes
20bb19ec-2257-4986-b470-3b4344ba0944,Colocation Les Ajoncs,Lourdes
